errors,uncertainties,accuracy,iteration
0.01,0.01,1.0,1
0.01,0.01,1.0,1
0.01,0.01,1.0,1
0.05,0.01,1.0,1
0.05,0.01,1.0,1
0.05,0.01,1.0,1
0.1,0.01,,1
0.1,0.01,,1
0.1,0.01,,1
0.15,0.01,,1
0.15,0.01,,1
0.15,0.01,,1
0.2,0.01,,1
0.2,0.01,,1
0.2,0.01,,1
0.25,0.01,,1
0.25,0.01,,1
0.25,0.01,,1
0.3,0.01,,1
0.3,0.01,,1
0.3,0.01,,1
0.01,0.05,1.0,1
0.01,0.05,1.0,1
0.01,0.05,1.0,1
0.05,0.05,1.0,1
0.05,0.05,1.0,1
0.05,0.05,1.0,1
0.1,0.05,,1
0.1,0.05,,1
0.1,0.05,,1
0.15,0.05,,1
0.15,0.05,,1
0.15,0.05,,1
0.2,0.05,,1
0.2,0.05,,1
0.2,0.05,,1
0.25,0.05,,1
0.25,0.05,,1
0.25,0.05,,1
0.3,0.05,,1
0.3,0.05,,1
0.3,0.05,,1
0.01,0.1,0.6097560975609756,1
0.01,0.1,0.6097560975609756,1
0.01,0.1,0.6097560975609756,1
0.05,0.1,0.8333333333333334,1
0.05,0.1,0.8333333333333334,1
0.05,0.1,0.8333333333333334,1
0.1,0.1,,1
0.1,0.1,,1
0.1,0.1,,1
0.15,0.1,,1
0.15,0.1,,1
0.15,0.1,,1
0.2,0.1,,1
0.2,0.1,,1
0.2,0.1,,1
0.25,0.1,,1
0.25,0.1,,1
0.25,0.1,,1
0.3,0.1,,1
0.3,0.1,,1
0.3,0.1,,1
0.01,0.15,0.5952380952380952,1
0.01,0.15,0.5952380952380952,1
0.01,0.15,0.5952380952380952,1
0.05,0.15,0.5952380952380952,1
0.05,0.15,0.5952380952380952,1
0.05,0.15,0.5952380952380952,1
0.1,0.15,0.7272727272727273,1
0.1,0.15,0.7272727272727273,1
0.1,0.15,0.7272727272727273,1
0.15,0.15,,1
0.15,0.15,,1
0.15,0.15,,1
0.2,0.15,,1
0.2,0.15,,1
0.2,0.15,,1
0.25,0.15,,1
0.25,0.15,,1
0.25,0.15,,1
0.3,0.15,,1
0.3,0.15,,1
0.3,0.15,,1
0.01,0.2,0.5952380952380952,1
0.01,0.2,0.5952380952380952,1
0.01,0.2,0.5952380952380952,1
0.05,0.2,0.5952380952380952,1
0.05,0.2,0.5952380952380952,1
0.05,0.2,0.5952380952380952,1
0.1,0.2,0.6,1
0.1,0.2,0.6,1
0.1,0.2,0.6,1
0.15,0.2,0.6428571428571429,1
0.15,0.2,0.6428571428571429,1
0.15,0.2,0.6428571428571429,1
0.2,0.2,,1
0.2,0.2,,1
0.2,0.2,,1
0.25,0.2,,1
0.25,0.2,,1
0.25,0.2,,1
0.3,0.2,,1
0.3,0.2,,1
